Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2023;53;306043;59.0;-0.32;1.02;-1.35;24.60961368173753;29.055720928104872;4.9;11.0
2023;58;201017;29.0;-7.93;-6.65;-1.28;19.206335782545754;38.36192958804479;6.7;15.5
2023;972;357191;317.0;-8.95;1.78;-10.73;21.528817915345012;30.64550898538877;10.2;26.7
2023;70;233493;44.0;-2.59;-0.9199999999999999;-1.67;22.796400748630578;30.73539677849015;6.3;13.0
2023;65;230143;52.0;0.4;-4.25;4.65;19.84244578370839;34.915682858049124;7.7;15.5
2023;52;170280;27.0;-6.63;-2.83;-3.8;20.848015034061547;33.21940333568241;6.4;15.0
2023;88;359915;61.0;-4.99;-2.6100000000000003;-2.39;21.46034480363419;32.45321812094522;7.3999999999999995;14.9
2023;971;381606;234.0;-5.6899999999999995;3.9;-9.59;24.015345670665557;28.40599990566186;19.3;
2023;2B;184485;40.0;9.4;-0.77;10.17;19.672602108572512;30.524432880722006;6.4;20.1
2023;85;698570;104.0;8.870000000000001;-0.58;9.45;22.702950312781827;32.5295961750433;5.1;8.9
2023;18;299546;41.0;-3.9;-3.2;-0.7000000000000001;21.072222630247104;33.86291254097868;7.3999999999999995;14.0
2023;93;1664856;7054.0;8.82;13.99;-5.18;28.968931847559187;17.338856934173286;10.0;27.6
2023;54;731390;139.0;-0.24;1.41;-1.6500000000000001;23.112703208958287;26.337795157166493;6.800000000000001;14.6
2023;43;227111;46.0;0.98;-2.4699999999999998;3.45;22.12618499324119;32.26527997322895;5.5;11.9
2023;95;1258517;1010.0;6.619999999999999;11.23;-4.61;28.404542807129346;19.68443811247683;7.9;17.0
2023;74;843675;192.0;12.94;6.279999999999999;6.660000000000001;24.607816991139952;22.922333837081815;5.3;9.4
2023;33;1655325;154.0;13.089999999999998;2.9499999999999997;10.14;22.875930708471145;25.62451482337305;6.4;12.4
2023;92;1631170;9268.0;3.1300000000000003;9.25;-6.12;24.50817511356879;20.67963486331897;5.800000000000001;11.9
2023;13;2055002;404.0;4.0;4.24;-0.24;23.359831279969555;27.08518045237912;8.6;17.9
2023;9;154222;32.0;1.27;-3.9600000000000004;5.2299999999999995;20.456225441247035;34.4950785231679;9.3;17.9
2023;974;866669;346.0;4.6;12.0;-7.41;29.49926673274341;19.25994814629345;17.1;35.6
2023;11;376885;61.0;4.7;-2.7;7.3999999999999995;21.08361967178317;34.019661169852874;9.9;20.0
2023;80;566872;92.0;-0.76;0.74;-1.5;23.908042732750957;27.0611354944326;8.6;15.7
2023;25;546630;104.0;3.3099999999999996;3.52;-0.21;24.489142564440296;26.015037593984964;6.3;12.2
2023;51;565685;69.0;-0.16;2.4299999999999997;-2.58;23.87459451815056;26.361314158940047;7.000000000000001;14.2
2023;72;567068;91.0;0.24;0.98;-0.74;24.00558663158563;29.255045250305077;6.800000000000001;12.9
2023;27;598404;99.0;1.7500000000000002;2.67;-0.9199999999999999;25.362965488198608;26.516199758023006;6.7;12.3
2023;56;768617;113.0;5.71;-1.7000000000000002;7.41;21.991707183161445;32.74387633893083;5.6000000000000005;11.5
2023;30;753509;129.0;4.89;0.91;3.9899999999999998;22.654938428074516;30.8921326752567;9.8;19.4
2023;31;1434268;227.0;13.81;5.86;7.95;23.55229287692398;22.44190067686095;7.199999999999999;13.3
2023;63;664189;83.0;4.52;0.32;4.2;22.424942298050706;28.702824045565343;6.2;13.2
